	OG	TSG
PBRM1_ENST00000356770	-2.7179970536935896	-0.06828615368014328
CNTLN	-2.613675095070366	-0.0760873996432192
JMJD1C	-2.521304965739561	-0.08376720305164419
ZNF318	-2.521304965739561	-0.08376720305164419
KDM6A_ENST00000382899	-2.466021046026639	-0.08874606840068976
KDM6A_ENST00000377967	-2.466021046026639	-0.08874606840068976
NOTCH2	-2.426701302584072	-0.09247469445534906
PDS5B	-2.401446990570919	-0.0949557008510471
CRSP3	-2.401446990570919	-0.0949557008510471
GON4L_ENST00000368331	-2.3996501072176346	-0.09513486561299585
MLL2_ENST00000301067	-2.3769094776719037	-0.0974331863297839
CTNND1	-2.362384108978497	-0.09893165096688267
NF2_ENST00000403999	-2.3509301808599514	-0.10013032021967633
STAG2_ENST00000218089	-2.348526647889969	-0.10038378474681967
MLL3_ENST00000355193	-2.3242465139764463	-0.10298240147489632
CSPP1	-2.316129566536175	-0.1038668362092251
ARID1A	-2.3150444302037343	-0.10398567884359675
NF1_ENST00000358273	-2.312707420010798	-0.10424211145100615
SETD2_ENST00000409792	-2.3097629626415994	-0.10456614566801542
MBD6	-2.307544465452689	-0.10481098944440907
KMT2A	-2.301958233748443	-0.10543019094763965
DMXL2	-2.2934075971225587	-0.10638545608699011
GOLGA2	-2.2838049155384472	-0.10746914103953281
LARP4B	-2.283141106123287	-0.10754448237303636
ZNF608	-2.277665816417689	-0.10816804830504585
SACS_ENST00000382298	-2.2658049156129385	-0.10953197494324689
SACS	-2.2658049156129385	-0.10953197494324689
CASP8AP2	-2.264417194799203	-0.10969273603446691
LTBP2	-2.2572756358682455	-0.11052400251617872
ZNF318_ENST00000318149	-2.255651375281137	-0.11071399102064254
SAMD9	-2.2553268154236896	-0.11075199587440286
SPAG1	-2.244482005450436	-0.11202984457872732
ZNF543	-2.2238301745897386	-0.1145065608653022
ASXL2_ENST00000435504	-2.2180198434851084	-0.1152137720878853
MLL_ENST00000534358	-2.2121768060221374	-0.11592962937777955
CACNA1H_ENST00000358590	-2.2112218695803563	-0.11604707011409025
CACNA1H	-2.2112218695803563	-0.11604707011409025
PBRM1_ENST00000296302	-2.2105404703799043	-0.11613094751248222
HSPG2	-2.2035802271943314	-0.11699141214343552
RIN2	-2.203294368751355	-0.11702689567158266
MED23	-2.202522160289427	-0.11712280671713914
TRIP12	-2.2023048665541904	-0.11714981038906198
JMJD1C_ENST00000399262	-2.199335321689111	-0.11751950559616577
DOCK8_ENST00000453981	-2.1960840669532917	-0.11792569095769465
ABCB4_ENST00000265723	-2.1957466461459734	-0.11796793073202232
NCOR1_ENST00000395851	-2.190839795304009	-0.11858400737386267
KMT2D	-2.1807814522846063	-0.11985756816925812
HCFC2	-2.179465035980012	-0.1200253201651517
ASXL2	-2.176545747017181	-0.12039821710700496
DNAH17	-2.1763986293365707	-0.12041704177725676
RASA1	-2.1724194506485066	-0.12092739064298474
SPINK5_ENST00000359874	-2.1719192786129664	-0.12099170238981731
CR1_ENST00000367049	-2.1718481907858185	-0.12100084575641347
PTCH1_ENST00000430669	-2.1653879596065715	-0.12183483612856054
ZC3H13_ENST00000242848	-2.16505539110807	-0.12187793429972338
GIGYF1	-2.1627578204195013	-0.12217612352249965
KANK3	-2.1612490423546493	-0.1223723611436681
MLL4	-2.1603508348205596	-0.12248934454969519
GIGYF2	-2.160100934880698	-0.12252191287968914
BCORL1	-2.1574250543914344	-0.12287122562102351
ROBO2	-2.15695725949449	-0.12293240074345531
ROBO2_ENST00000487694	-2.15695725949449	-0.12293240074345531
NUP210	-2.1562209997020334	-0.12302874950133758
IGSF3	-2.153205257194352	-0.12342423538194718
ZNRF3	-2.1496758287355604	-0.1238888032760366
RNF111	-2.1470765092215616	-0.12423213240262906
MGA	-2.1468709343583625	-0.12425932873910682
FNDC7_ENST00000271311	-2.1436104682153307	-0.12469151670912706
DST_ENST00000244364	-2.140879063521735	-0.12505480619441164
NTRK2_ENST00000395882	-2.1385570871826562	-0.1253645253023718
CRY1	-2.1385570871826562	-0.1253645253023718
IMPDH1	-2.1385570871826562	-0.1253645253023718
IGSF3_ENST00000369483	-2.1384317124614407	-0.12538127173941857
KDM6A	-2.1365105268244036	-0.12563818449459488
PCSK5_ENST00000424854	-2.13564551963718	-0.1257540414093418
IFI16	-2.1332901246753444	-0.1260700938581001
ARHGAP5	-2.1326221646691135	-0.12615987609598794
IWS1	-2.1281500593944784	-0.12676273945514482
EGFL4	-2.1274620016459336	-0.1268557651749917
LMO7_ENST00000357063	-2.124652803366357	-0.12723632499426235
BCORL1_ENST00000303743	-2.1213899539879124	-0.12767986734441927
ASXL1_ENST00000306058	-2.1167203487206327	-0.12831750759235977
ARID1B_ENST00000346085	-2.1145233776570773	-0.12861867953182332
KIAA0232	-2.1133496748965572	-0.1287798852973195
NOBOX_ENST00000467773	-2.1108080473952238	-0.12912971137309837
MAP3K1_ENST00000399503	-2.109506830559025	-0.12930920096454765
NF1	-2.1058238242372225	-0.12981867750081502
FAM124B_ENST00000409685	-2.1033044711763287	-0.13016841647364463
SIN3A	-2.1032976558877263	-0.13016936394008585
RLTPR_ENST00000334583	-2.0935064060135753	-0.13153817807953594
STAU2_ENST00000521210	-2.089432072913703	-0.13211228693774987
CLIP1_ENST00000540338	-2.0891420791751525	-0.13215325140457382
SLFN12L	-2.0866760337011665	-0.13250215303388643
SLFN12L_ENST00000449046	-2.0866760337011665	-0.13250215303388643
VPS13B	-2.079142937222698	-0.13357405768379002
KIAA2018	-2.0790562682868776	-0.1335864437998515
PTCH1_ENST00000331920	-2.078279115090663	-0.1336975639257547
ANK2	-2.0781468799245766	-0.133716481208298
SETX	-2.0758485086980247	-0.13404573854381022
ZAN_ENST00000542585	-2.0737350569457376	-0.1343492695280028
MLLT4	-2.0714530433812257	-0.13467783403554584
NUMA1	-2.0711917974405583	-0.13471550299941765
MRC2	-2.068177512359988	-0.13515094730462382
AHNAK	-2.0676708187230775	-0.1352242919880047
SCN9A_ENST00000375387	-2.0661156515520602	-0.1354496707039399
PKD1L1	-2.0650648459963747	-0.13560218343397953
MAMDC4	-2.063698256600949	-0.13580080343185885
PPP6R2	-2.06192552350533	-0.13605891601391254
ZNF227	-2.06180489084083	-0.1360764993668506
ZNF256_ENST00000282308	-2.06180489084083	-0.1360764993668506
ZNF256	-2.06180489084083	-0.1360764993668506
FAM48A	-2.06180489084083	-0.1360764993668506
TNC	-2.058547539236248	-0.13655220931930953
ZC3H11A	-2.057983451071253	-0.13663477041456992
RAI1_ENST00000261641	-2.0574244488337654	-0.13671663981039778
CTNND1_ENST00000399050	-2.0546039414745683	-0.13713052216777738
GRLF1_ENST00000317082	-2.053078064621708	-0.13735498864106468
MLLT4_ENST00000366806	-2.052925493515113	-0.1373774544646699
CCR7	-2.0512527554251614	-0.13762402025716425
KL	-2.0510067959676537	-0.1376603152251973
KIAA0947_ENST00000296564	-2.0479014306808563	-0.138119440356276
FAT	-2.0456899670923914	-0.13844740235833858
RGAG4	-2.044690197059712	-0.1385959427496201
F2R	-2.044690197059712	-0.1385959427496201
ANKS6	-2.044690197059712	-0.1385959427496201
DCAF8L2_ENST00000451261	-2.044690197059712	-0.1385959427496201
ATF7IP	-2.0439660241901154	-0.13870364299232205
MEGF8_ENST00000334370	-2.043539570489097	-0.13876710785384486
BIRC6	-2.0434700229552827	-0.13877746087055054
MUC6_ENST00000421673	-2.0406160965267617	-0.1392030177137831
CACNA1H_ENST00000348261	-2.0377836514613263	-0.1396267538481606
USP9X	-2.0376797154598836	-0.1396423290215537
NUP98_ENST00000359171	-2.036669819220852	-0.13979376246191572
MACF1_ENST00000361689	-2.034800458227094	-0.14007453674684853
ACSM3_ENST00000440284	-2.033548017020739	-0.1402629889630749
DST_ENST00000370769	-2.0329142706515975	-0.14035845097793567
WDR64_ENST00000366552	-2.0320630035550438	-0.14048678802113157
BHMT2	-2.0317316299023522	-0.14053677992504096
DNAH7	-2.028921620818836	-0.14096147261175737
CENPE	-2.028770284951013	-0.140984383874976
CELSR3	-2.0283354307152206	-0.14105024019151277
ABI3BP_ENST00000471714	-2.027455922740663	-0.14118353774519107
NES	-2.0265818285145945	-0.14131614863221795
PCDH15_ENST00000417177	-2.024845150425345	-0.14158002063332795
PCDH15	-2.024845150425345	-0.14158002063332795
KIF20B	-2.021545171777297	-0.14208287872628167
OGDH	-2.019140229741345	-0.1424505559091387
CD200	-2.0166357031348197	-0.14283454335333176
WDR88_ENST00000361680	-2.0166357031348197	-0.14283454335333176
RTN4	-2.013882497104648	-0.1432579397255934
DOCK5	-2.0127716772933244	-0.14342914616843153
FAT2	-2.0117437283124144	-0.1435877757195122
ICA1	-2.011126443914034	-0.14368312342179768
RALGAPA1	-2.006514098355046	-0.144397716184973
WAC	-2.004913272150457	-0.14464662428247435
MYCBP2	-2.003618440420501	-0.14484829125723112
SATL1	-2.00357482301367	-0.1448550898209278
KDM5B_ENST00000367265	-2.0034150586179016	-0.14487999492601764
BCL9L	-1.9995461851924858	-0.14548450653634953
ALS2CR11_ENST00000439140	-1.9989363705926033	-0.14558003707620037
LMAN1	-1.9972968077391502	-0.14583721729504587
TUBGCP6	-1.9968389473022283	-0.14590912401453904
DOCK4	-1.9965256700390712	-0.14595834598380006
FKBP8	-1.9960507327718946	-0.14603300193244345
FKBP8_ENST00000453489	-1.9960507327718946	-0.14603300193244345
