random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	25	sqrt	4	entropy	0.71875
1	18	sqrt	3	gini	0.6875
2	19	sqrt	4	entropy	0.70625
3	11	sqrt	3	gini	0.70625
4	11	sqrt	4	entropy	0.74375
5	5	sqrt	4	gini	0.7375
6	11	sqrt	2	entropy	0.7375
7	5	sqrt	4	entropy	0.74375
8	8	sqrt	3	entropy	0.725
9	5	sqrt	2	gini	0.725
