Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_OG	F1_TSG	Precision_OG	Precision_TSG	Recall_OG	Recall_TSG
allFeat	37	8	0	log2	2	entropy	0.81875	0.7339449541284404	0.8625592417061612	0.7843137254901961	0.8348623853211009	0.6896551724137931	0.8921568627450981
allFeat	37	24	1	sqrt	2	gini	0.8	0.6444444444444445	0.8608695652173913	0.90625	0.7734375	0.5	0.9705882352941176
allFeat	37	10	2	sqrt	4	gini	0.9	0.8490566037735848	0.9252336448598131	0.9375	0.8839285714285714	0.7758620689655172	0.9705882352941176
allFeat	37	26	3	log2	4	gini	0.9	0.8461538461538461	0.9259259259259259	0.9565217391304348	0.8771929824561403	0.7586206896551724	0.9803921568627451
allFeat	37	20	4	log2	3	gini	0.85	0.7692307692307693	0.8888888888888888	0.8695652173913043	0.8421052631578947	0.6896551724137931	0.9411764705882353
allFeat	37	23	5	log2	2	gini	0.81875	0.6947368421052632	0.8711111111111112	0.8918918918918919	0.7967479674796748	0.5689655172413793	0.9607843137254902
allFeat	37	18	6	sqrt	2	gini	0.825	0.7254901960784312	0.871559633027523	0.8409090909090909	0.8189655172413793	0.6379310344827587	0.9313725490196079
allFeat	37	5	7	sqrt	2	gini	0.825	0.7083333333333333	0.8750000000000001	0.8947368421052632	0.8032786885245902	0.5862068965517241	0.9607843137254902
allFeat	37	11	8	sqrt	4	entropy	0.9125	0.8703703703703703	0.9339622641509434	0.94	0.9	0.8103448275862069	0.9705882352941176
allFeat	37	22	9	sqrt	4	gini	0.925	0.8928571428571429	0.9423076923076923	0.9259259259259259	0.9245283018867925	0.8620689655172413	0.9607843137254902
newFeat	19	25	0	sqrt	4	entropy	0.89375	0.8411214953271028	0.9201877934272301	0.9183673469387755	0.8828828828828829	0.7758620689655172	0.9607843137254902
newFeat	19	18	1	sqrt	3	gini	0.825	0.7083333333333333	0.8750000000000001	0.8947368421052632	0.8032786885245902	0.5862068965517241	0.9607843137254902
newFeat	19	19	2	sqrt	4	entropy	0.86875	0.7878787878787878	0.9049773755656109	0.9512195121951219	0.8403361344537815	0.6724137931034483	0.9803921568627451
newFeat	19	11	3	sqrt	3	gini	0.775	0.64	0.8363636363636364	0.7619047619047619	0.7796610169491526	0.5517241379310345	0.9019607843137255
newFeat	19	11	4	sqrt	4	entropy	0.875	0.8214285714285715	0.9038461538461539	0.8518518518518519	0.8867924528301887	0.7931034482758621	0.9215686274509803
newFeat	19	5	5	sqrt	4	gini	0.84375	0.7663551401869159	0.8826291079812206	0.8367346938775511	0.8468468468468469	0.7068965517241379	0.9215686274509803
newFeat	19	11	6	sqrt	2	entropy	0.78125	0.6153846153846154	0.8471615720524017	0.8484848484848485	0.7637795275590551	0.4827586206896552	0.9509803921568627
newFeat	19	5	7	sqrt	4	entropy	0.83125	0.7272727272727273	0.8778280542986425	0.8780487804878049	0.8151260504201681	0.6206896551724138	0.9509803921568627
newFeat	19	8	8	sqrt	3	entropy	0.85	0.7777777777777777	0.8867924528301887	0.84	0.8545454545454545	0.7241379310344828	0.9215686274509803
newFeat	19	5	9	sqrt	2	gini	0.73125	0.4691358024691358	0.8200836820083682	0.8260869565217391	0.7153284671532847	0.3275862068965517	0.9607843137254902
oldFeat	18	14	0	sqrt	2	entropy	0.7875	0.6530612244897959	0.8468468468468469	0.8	0.7833333333333333	0.5517241379310345	0.9215686274509803
oldFeat	18	10	1	sqrt	3	entropy	0.83125	0.7567567567567567	0.8708133971291867	0.7924528301886793	0.8504672897196262	0.7241379310344828	0.8921568627450981
oldFeat	18	13	2	sqrt	3	entropy	0.83125	0.6966292134831461	0.8831168831168831	1.0	0.7906976744186046	0.5344827586206896	1.0
oldFeat	18	13	3	sqrt	3	entropy	0.8375	0.7234042553191489	0.8849557522123893	0.9444444444444444	0.8064516129032258	0.5862068965517241	0.9803921568627451
oldFeat	18	6	4	sqrt	3	entropy	0.85625	0.780952380952381	0.8930232558139535	0.8723404255319149	0.8495575221238938	0.7068965517241379	0.9411764705882353
oldFeat	18	10	5	sqrt	3	gini	0.86875	0.7999999999999999	0.9023255813953488	0.8936170212765957	0.8584070796460177	0.7241379310344828	0.9509803921568627
oldFeat	18	5	6	sqrt	4	gini	0.875	0.8275862068965517	0.9019607843137255	0.8275862068965517	0.9019607843137255	0.8275862068965517	0.9019607843137255
oldFeat	18	12	7	sqrt	3	gini	0.85	0.75	0.8928571428571428	0.9473684210526315	0.819672131147541	0.6206896551724138	0.9803921568627451
oldFeat	18	28	8	sqrt	4	entropy	0.9	0.8431372549019609	0.9266055045871561	0.9772727272727273	0.8706896551724138	0.7413793103448276	0.9901960784313726
oldFeat	18	30	9	sqrt	4	entropy	0.8875	0.8199999999999998	0.9181818181818182	0.9761904761904762	0.8559322033898306	0.7068965517241379	0.9901960784313726
