random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	14	sqrt	2	entropy	0.7625
1	10	sqrt	3	entropy	0.78125
2	13	sqrt	3	entropy	0.76875
3	13	sqrt	3	entropy	0.8
4	6	sqrt	3	entropy	0.8
5	10	sqrt	3	gini	0.7875
6	5	sqrt	4	gini	0.76875
7	12	sqrt	3	gini	0.775
8	28	sqrt	4	entropy	0.78125
9	30	sqrt	4	entropy	0.76875
