random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	8	log2	2	entropy	0.7625
1	24	sqrt	2	gini	0.775
2	10	sqrt	4	gini	0.78125
3	26	log2	4	gini	0.775
4	20	log2	3	gini	0.775
5	23	log2	2	gini	0.79375
6	18	sqrt	2	gini	0.79375
7	5	sqrt	2	gini	0.7875
8	11	sqrt	4	entropy	0.78125
9	22	sqrt	4	gini	0.775
