random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	9	log2	4	gini	0.7981220657276995
1	24	log2	3	entropy	0.7793427230046949
2	6	sqrt	2	gini	0.7887323943661971
3	16	sqrt	2	entropy	0.7887323943661971
4	30	log2	3	gini	0.7793427230046949
5	13	sqrt	2	gini	0.7981220657276995
6	18	sqrt	2	gini	0.7934272300469484
7	19	log2	4	gini	0.7934272300469484
8	27	sqrt	3	gini	0.7934272300469484
9	17	log2	3	gini	0.7981220657276995
