random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	13	sqrt	3	gini	0.71875
1	30	sqrt	3	entropy	0.75
2	5	sqrt	3	gini	0.725
3	21	sqrt	4	gini	0.7375
4	24	sqrt	2	entropy	0.7375
5	30	sqrt	4	gini	0.7625
6	14	sqrt	2	gini	0.73125
7	24	sqrt	3	gini	0.725
8	29	sqrt	2	entropy	0.75
9	20	sqrt	2	entropy	0.7125
