	OG	TSG
RNF216	-1.721472928117993	-0.19699174836677077
MLLT4	-1.721472928117993	-0.19699174836677077
LIMCH1_ENST00000512820	-1.721472928117993	-0.19699174836677077
GRB14_ENST00000543549	-1.697103529457356	-0.20237745271087518
DYRK3_ENST00000367109	-1.697103529457356	-0.20237745271087518
OSBPL3	-1.697103529457356	-0.20237745271087518
FIP1L1_ENST00000358575	-1.6864489473805293	-0.2047830507649616
STAG2_ENST00000218089	-1.6690925120977815	-0.2087698190219868
NF2_ENST00000403999	-1.6690925120977815	-0.2087698190219868
C6orf165_ENST00000369562	-1.641656079002998	-0.21524862575812698
ESRP1	-1.641656079002998	-0.21524862575812698
SYNCRIP	-1.6191352806238295	-0.22073383193759424
DNAH10_ENST00000409039	-1.5482533739120945	-0.23904305064503806
F8	-1.5482533739120945	-0.23904305064503806
ZC3H13_ENST00000242848	-1.5482533739120945	-0.23904305064503806
F8_ENST00000360256	-1.5482533739120945	-0.23904305064503806
KIAA0430	-1.5482533739120945	-0.23904305064503806
PHYH	-1.5423393431456769	-0.24064605111423387
LARP4B	-1.534368065171208	-0.24282584324775075
ZDHHC8	-1.534368065171208	-0.24282584324775075
ZMIZ1	-1.534368065171208	-0.24282584324775075
ITSN1	-1.534368065171208	-0.24282584324775075
DDX4_ENST00000511853	-1.5341526297465493	-0.24288506306984814
NXF1	-1.5341526297465493	-0.24288506306984814
WWC1	-1.5341526297465493	-0.24288506306984814
ELMOD3	-1.5341526297465493	-0.24288506306984814
ARHGAP29	-1.5341526297465493	-0.24288506306984814
ZNF583	-1.5341526297465493	-0.24288506306984814
MID1	-1.5341526297465493	-0.24288506306984814
KIFAP3	-1.5341526297465493	-0.24288506306984814
NR3C2	-1.5341526297465493	-0.24288506306984814
DYRK3_ENST00000367106	-1.5341526297465493	-0.24288506306984814
AMBRA1_ENST00000458649	-1.5341526297465493	-0.24288506306984814
SMARCD2	-1.5341526297465493	-0.24288506306984814
GPR171	-1.5341526297465493	-0.24288506306984814
ZNF365_ENST00000395255	-1.5341526297465493	-0.24288506306984814
SLC25A12	-1.5341526297465493	-0.24288506306984814
BIN2	-1.5341526297465493	-0.24288506306984814
SETDB1	-1.5341526297465493	-0.24288506306984814
FLRT3	-1.5341526297465493	-0.24288506306984814
CXorf58	-1.5341526297465493	-0.24288506306984814
UBQLN4	-1.5341526297465493	-0.24288506306984814
POGLUT1	-1.5341526297465493	-0.24288506306984814
EXOC6B	-1.5341526297465493	-0.24288506306984814
DDX4_ENST00000505374	-1.5341526297465493	-0.24288506306984814
KIF5C	-1.5341526297465493	-0.24288506306984814
MAP7D2	-1.5341526297465493	-0.24288506306984814
FAM65C	-1.5341526297465493	-0.24288506306984814
TIMELESS	-1.5341526297465493	-0.24288506306984814
DRP2	-1.5341526297465493	-0.24288506306984814
SPRED1	-1.5341526297465493	-0.24288506306984814
IGSF8	-1.5341526297465493	-0.24288506306984814
MASP2	-1.5252589770767684	-0.24534405046263155
PDE4D_ENST00000503258	-1.5252589770767684	-0.24534405046263155
PDE4D_ENST00000502484	-1.5252589770767684	-0.24534405046263155
PLIN2	-1.5252589770767684	-0.24534405046263155
SH3GL1	-1.5252589770767684	-0.24534405046263155
SLC5A4	-1.513904224214328	-0.24852440916683063
ZNF146	-1.513904224214328	-0.24852440916683063
KBTBD8_ENST00000417314	-1.513904224214328	-0.24852440916683063
ANKRD55	-1.513904224214328	-0.24852440916683063
REPS2	-1.513904224214328	-0.24852440916683063
ASTN2_ENST00000361477	-1.513904224214328	-0.24852440916683063
KCNJ9	-1.513904224214328	-0.24852440916683063
LDB1	-1.5093852964475867	-0.24980304594830008
MYO6	-1.5038136004309426	-0.25138981144861616
RGS22_ENST00000360863	-1.5038136004309426	-0.25138981144861616
HPSE2_ENST00000370546	-1.5023464919226146	-0.25180952331569967
DYRK3	-1.5023464919226146	-0.25180952331569967
HDAC2	-1.5023464919226146	-0.25180952331569967
TMEM196_ENST00000405764	-1.5023464919226146	-0.25180952331569967
PDE4D_ENST00000405755	-1.4971102394839806	-0.25331399304924457
ABCA12_ENST00000389661	-1.4807127958714648	-0.2580915386676691
GRLF1_ENST00000317082	-1.4807127958714648	-0.2580915386676691
MAP1B	-1.4807127958714648	-0.2580915386676691
TRIM17	-1.4762539423883172	-0.2594082786376483
MYST3	-1.4762539423883172	-0.2594082786376483
KL	-1.4762539423883172	-0.2594082786376483
RASA1	-1.4762539423883172	-0.2594082786376483
GRB14	-1.4762539423883172	-0.2594082786376483
FNIP1	-1.4755445120847412	-0.259618482205296
PHACTR1	-1.467728478380593	-0.2619472188354141
ZNF480_ENST00000468240	-1.4675269301786968	-0.26200758195199614
TBC1D7	-1.4675269301786968	-0.26200758195199614
NT5DC3	-1.4675269301786968	-0.26200758195199614
CTNND1	-1.4675269301786968	-0.26200758195199614
FBXO28	-1.4675269301786968	-0.26200758195199614
ZNF585B	-1.4675269301786968	-0.26200758195199614
ADAM19_ENST00000257527	-1.4675269301786968	-0.26200758195199614
AMFR	-1.4675269301786968	-0.26200758195199614
GCA	-1.4675269301786968	-0.26200758195199614
MTM1	-1.4675269301786968	-0.26200758195199614
JAK3_ENST00000458235	-1.4675269301786968	-0.26200758195199614
NFE2L3	-1.4632395594350545	-0.26329539131083374
KBTBD8	-1.4485713402450588	-0.26775611776097175
MUC19	-1.4467138598844835	-0.26832710984568353
LRRC53_ENST00000294635	-1.4467138598844835	-0.26832710984568353
C10orf112	-1.4467138598844835	-0.26832710984568353
AC010872_2	-1.4467138598844835	-0.26832710984568353
FAM98B	-1.4467138598844835	-0.26832710984568353
PPP2R5A_ENST00000537030	-1.4412281706593988	-0.270021541176776
HLA-B	-1.4402232614597745	-0.2703332608157324
DZIP1_ENST00000347108	-1.43911588478889	-0.27067724127857135
VPS16	-1.43677312512138	-0.27140661225524343
FKBP5	-1.43677312512138	-0.27140661225524343
ATP1B4_ENST00000218008	-1.43677312512138	-0.27140661225524343
HOXD12	-1.43677312512138	-0.27140661225524343
KLC1	-1.43677312512138	-0.27140661225524343
LRRC59	-1.43677312512138	-0.27140661225524343
MIOX	-1.43677312512138	-0.27140661225524343
C14orf43	-1.4304787829918446	-0.2733773711252883
SLC4A9_ENST00000230993	-1.4304787829918446	-0.2733773711252883
SSH2	-1.4304787829918446	-0.2733773711252883
CHD3	-1.4304787829918446	-0.2733773711252883
ADAL_ENST00000428046	-1.4304787829918446	-0.2733773711252883
CDKL2	-1.4304787829918446	-0.2733773711252883
ATF7IP_ENST00000543189	-1.4304787829918446	-0.2733773711252883
ARHGEF5	-1.4304787829918446	-0.2733773711252883
FSIP2_ENST00000343098	-1.4304787829918446	-0.2733773711252883
MCF2L2	-1.4304787829918446	-0.2733773711252883
ACIN1_ENST00000338631	-1.4304787829918446	-0.2733773711252883
MED1	-1.4304787829918446	-0.2733773711252883
SHROOM4	-1.4304787829918446	-0.2733773711252883
ADNP	-1.4304787829918446	-0.2733773711252883
CSPP1	-1.4304787829918446	-0.2733773711252883
RUSC2	-1.4304787829918446	-0.2733773711252883
KIAA1324	-1.4304787829918446	-0.2733773711252883
HCFC2	-1.4304787829918446	-0.2733773711252883
Q99543-2	-1.4304787829918446	-0.2733773711252883
KIF26A	-1.4304787829918446	-0.2733773711252883
TCHP	-1.4304787829918446	-0.2733773711252883
SLC44A3	-1.4304787829918446	-0.2733773711252883
PSME4_ENST00000404125	-1.4304787829918446	-0.2733773711252883
HELLS	-1.4304787829918446	-0.2733773711252883
NUP133	-1.4304787829918446	-0.2733773711252883
MLH3	-1.4304787829918446	-0.2733773711252883
ADAM33	-1.4304787829918446	-0.2733773711252883
