Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_OG	F1_TSG	Precision_OG	Precision_TSG	Recall_OG	Recall_TSG
allFeat	37	17	0	log2	3	gini	0.85625	0.780952380952381	0.8930232558139535	0.8723404255319149	0.8495575221238938	0.7068965517241379	0.9411764705882353
allFeat	37	30	1	log2	4	gini	0.925	0.888888888888889	0.9433962264150944	0.96	0.9090909090909091	0.8275862068965517	0.9803921568627451
allFeat	37	25	2	log2	4	entropy	0.9	0.851851851851852	0.9245283018867925	0.92	0.8909090909090909	0.7931034482758621	0.9607843137254902
allFeat	37	10	3	sqrt	3	gini	0.8375	0.7547169811320755	0.8785046728971961	0.8333333333333334	0.8392857142857143	0.6896551724137931	0.9215686274509803
allFeat	37	30	4	log2	2	entropy	0.84375	0.7474747474747474	0.8868778280542987	0.9024390243902439	0.8235294117647058	0.6379310344827587	0.9607843137254902
allFeat	37	15	5	sqrt	2	gini	0.825	0.7254901960784312	0.871559633027523	0.8409090909090909	0.8189655172413793	0.6379310344827587	0.9313725490196079
allFeat	37	12	6	log2	2	gini	0.81875	0.7184466019417477	0.8663594470046083	0.8222222222222222	0.8173913043478261	0.6379310344827587	0.9215686274509803
allFeat	37	26	7	log2	2	gini	0.825	0.7142857142857142	0.8738738738738738	0.875	0.8083333333333333	0.603448275862069	0.9509803921568627
allFeat	37	8	8	log2	3	entropy	0.85625	0.7889908256880734	0.8909952606635071	0.8431372549019608	0.8623853211009175	0.7413793103448276	0.9215686274509803
allFeat	37	7	9	log2	3	entropy	0.85625	0.780952380952381	0.8930232558139535	0.8723404255319149	0.8495575221238938	0.7068965517241379	0.9411764705882353
newFeat	19	13	0	sqrt	3	gini	0.84375	0.7524752475247525	0.8858447488584476	0.8837209302325582	0.8290598290598291	0.6551724137931034	0.9509803921568627
newFeat	19	30	1	sqrt	3	entropy	0.83125	0.7216494845360825	0.8789237668161435	0.8974358974358975	0.8099173553719008	0.603448275862069	0.9607843137254902
newFeat	19	5	2	sqrt	3	gini	0.8375	0.7758620689655173	0.8725490196078431	0.7758620689655172	0.8725490196078431	0.7758620689655172	0.8725490196078431
newFeat	19	21	3	sqrt	4	gini	0.89375	0.8349514563106797	0.9216589861751152	0.9555555555555556	0.8695652173913043	0.7413793103448276	0.9803921568627451
newFeat	19	24	4	sqrt	2	entropy	0.7875	0.6046511627906977	0.8547008547008548	0.9285714285714286	0.7575757575757576	0.4482758620689655	0.9803921568627451
newFeat	19	30	5	sqrt	4	gini	0.90625	0.8571428571428572	0.9302325581395348	0.9574468085106383	0.8849557522123894	0.7758620689655172	0.9803921568627451
newFeat	19	14	6	sqrt	2	gini	0.7875	0.6530612244897959	0.8468468468468469	0.8	0.7833333333333333	0.5517241379310345	0.9215686274509803
newFeat	19	24	7	sqrt	3	gini	0.85	0.75	0.8928571428571428	0.9473684210526315	0.819672131147541	0.6206896551724138	0.9803921568627451
newFeat	19	29	8	sqrt	2	entropy	0.7875	0.6382978723404256	0.8495575221238938	0.8333333333333334	0.7741935483870968	0.5172413793103449	0.9411764705882353
newFeat	19	20	9	sqrt	2	entropy	0.7625	0.6122448979591838	0.8288288288288289	0.75	0.7666666666666667	0.5172413793103449	0.9019607843137255
oldFeat	18	18	0	sqrt	3	entropy	0.86875	0.8037383177570093	0.9014084507042254	0.8775510204081632	0.8648648648648649	0.7413793103448276	0.9411764705882353
oldFeat	18	14	1	sqrt	3	entropy	0.875	0.8076923076923076	0.9074074074074074	0.9130434782608695	0.8596491228070176	0.7241379310344828	0.9607843137254902
oldFeat	18	27	2	sqrt	3	gini	0.85625	0.7676767676767676	0.8959276018099548	0.926829268292683	0.8319327731092437	0.6551724137931034	0.9705882352941176
oldFeat	18	15	3	sqrt	2	gini	0.83125	0.7378640776699029	0.8755760368663595	0.8444444444444444	0.8260869565217391	0.6551724137931034	0.9313725490196079
oldFeat	18	13	4	sqrt	2	entropy	0.85	0.7692307692307693	0.8888888888888888	0.8695652173913043	0.8421052631578947	0.6896551724137931	0.9411764705882353
oldFeat	18	13	5	sqrt	4	gini	0.9125	0.8653846153846154	0.9351851851851852	0.9782608695652174	0.8859649122807017	0.7758620689655172	0.9901960784313726
oldFeat	18	22	6	sqrt	2	gini	0.84375	0.7524752475247525	0.8858447488584476	0.8837209302325582	0.8290598290598291	0.6551724137931034	0.9509803921568627
oldFeat	18	25	7	sqrt	2	entropy	0.85	0.7599999999999999	0.890909090909091	0.9047619047619048	0.8305084745762712	0.6551724137931034	0.9607843137254902
oldFeat	18	28	8	sqrt	2	entropy	0.84375	0.7524752475247525	0.8858447488584476	0.8837209302325582	0.8290598290598291	0.6551724137931034	0.9509803921568627
oldFeat	18	12	9	sqrt	4	entropy	0.91875	0.8761904761904762	0.9395348837209303	0.9787234042553191	0.8938053097345132	0.7931034482758621	0.9901960784313726
