	OG	TSG
C21orf119	-2.5366312155284283	-0.08243915287778752
C21orf119_ENST00000534991	-2.5366312155284283	-0.08243915287778752
TMSB4X	-2.292091541421655	-0.10653329219960884
ZNF706	-2.1293713613524656	-0.12659779770756452
LOC51123	-2.1293713613524656	-0.12659779770756452
DEFB1	-2.1136256294377103	-0.12874196413147165
RPS27AP17	-2.1136256294377103	-0.12874196413147165
CXorf28	-2.1136256294377103	-0.12874196413147165
C21orf37	-2.0169994639955404	-0.14277870361787096
RFX3_ENST00000381984	-2.0169994639955404	-0.14277870361787096
Q9P1M5_HUMAN	-2.0169994639955404	-0.14277870361787096
MTHFD2	-1.9874844048122886	-0.14738662451129833
SRSF5_ENST00000451983	-1.9764887849277466	-0.14914392811620142
C20orf166_ENST00000370524	-1.9312366213527892	-0.1566173382648524
TXLNG2P	-1.9018335386272003	-0.1616894273274404
FAM86B2	-1.8930718454971471	-0.16323501126536458
TIMM17A	-1.8930718454971471	-0.16323501126536458
FAM86B2_ENST00000393715	-1.8930718454971471	-0.16323501126536458
MZT1	-1.8930718454971471	-0.16323501126536458
ENSG00000185641	-1.8612859063164275	-0.16897807268807596
SLC25A27_ENST00000452689	-1.8612859063164275	-0.16897807268807596
LOC158572	-1.8019101242587419	-0.18030373177207099
SCT	-1.8019101242587419	-0.18030373177207099
LUC7L3_ENST00000544170	-1.7561187290482756	-0.18960471161256037
CCNYL3	-1.7338523068598937	-0.1943165335185338
TMEM78	-1.7004152976375921	-0.20163609347038222
ENSG00000205300	-1.7004152976375921	-0.20163609347038222
ENSG00000176515	-1.7004152976375921	-0.20163609347038222
ENSG00000267824	-1.7004152976375921	-0.20163609347038222
hCG_1757335	-1.7004152976375921	-0.20163609347038222
FGF22	-1.7004152976375921	-0.20163609347038222
C9orf92_ENST00000433347	-1.7004152976375921	-0.20163609347038222
CXorf28_ENST00000420429	-1.7004152976375921	-0.20163609347038222
Q7Z5Z2_HUMAN	-1.7004152976375921	-0.20163609347038222
FAM46A_ENST00000412306	-1.7004152976375921	-0.20163609347038222
C14orf2	-1.7004152976375921	-0.20163609347038222
Z99715.1	-1.7004152976375921	-0.20163609347038222
TMEM68_ENST00000521229	-1.7004152976375921	-0.20163609347038222
ENSG00000212999	-1.7004152976375921	-0.20163609347038222
C14orf2_ENST00000414262	-1.7004152976375921	-0.20163609347038222
KDM6A_ENST00000431196	-1.7004152976375921	-0.20163609347038222
ENSG00000267849	-1.7004152976375921	-0.20163609347038222
C9orf92	-1.7004152976375921	-0.20163609347038222
CDC26	-1.6788238963006243	-0.20652404864933135
ENSG00000262874	-1.6462510362014124	-0.21414819123687998
MORN4	-1.6152135490010644	-0.22170483934618945
MAX_ENST00000341653	-1.6152135490010644	-0.22170483934618945
MORN4_ENST00000307450	-1.6152135490010644	-0.22170483934618945
LY6G6E	-1.6152135490010644	-0.22170483934618945
PPP2R4_ENST00000524946	-1.6152135490010644	-0.22170483934618945
CXCL11	-1.6152135490010644	-0.22170483934618945
CDC42_ENST00000315554	-1.6152135490010644	-0.22170483934618945
UBE2W_ENST00000453587	-1.6152135490010644	-0.22170483934618945
AKIP1	-1.6152135490010644	-0.22170483934618945
TFAM_ENST00000395377	-1.6152135490010644	-0.22170483934618945
ATRX_ENST00000400866	-1.6152135490010644	-0.22170483934618945
ATPIF1_ENST00000497986	-1.6152135490010644	-0.22170483934618945
TRIM5_ENST00000396853	-1.6152135490010644	-0.22170483934618945
RPS27_ENST00000392558	-1.6152135490010644	-0.22170483934618945
LEPROTL1	-1.6152135490010644	-0.22170483934618945
CHIT1_ENST00000535569	-1.6069669088676912	-0.22376225742633823
SPAG11B_ENST00000359758	-1.6016678380773297	-0.2250955401358438
C15orf37	-1.6016678380773297	-0.2250955401358438
ASCL2	-1.6016678380773297	-0.2250955401358438
RGS10_ENST00000392865	-1.6016678380773297	-0.2250955401358438
COX16	-1.6016678380773297	-0.2250955401358438
FLJ45831	-1.6014560037537506	-0.22514902318893626
ENSG00000236112	-1.6014560037537506	-0.22514902318893626
LOC392434	-1.6014560037537506	-0.22514902318893626
O95431_HUMAN	-1.6014560037537506	-0.22514902318893626
Q9NU36_HUMAN	-1.6014560037537506	-0.22514902318893626
NCOA4_ENST00000452682	-1.6014560037537506	-0.22514902318893626
FAM205B_ENST00000399773	-1.6014560037537506	-0.22514902318893626
ENSG00000206044	-1.6014560037537506	-0.22514902318893626
ANKRD36BP1	-1.6014560037537506	-0.22514902318893626
ANKRD36BP1_ENST00000358576	-1.6014560037537506	-0.22514902318893626
ENSG00000267857	-1.6014560037537506	-0.22514902318893626
FAM201A	-1.6014560037537506	-0.22514902318893626
FAM205B	-1.6014560037537506	-0.22514902318893626
FLJ42957	-1.6014560037537506	-0.22514902318893626
ENSG00000197825	-1.5846177468601004	-0.22944605798749457
LOC389900	-1.5846177468601004	-0.22944605798749457
PIN1	-1.5846177468601004	-0.22944605798749457
ENSG00000172900	-1.5846177468601004	-0.22944605798749457
CIITA	-1.5846177468601004	-0.22944605798749457
ANKRD26_ENST00000445828	-1.5846177468601004	-0.22944605798749457
ENSG00000214325_ENST00000398113	-1.5846177468601004	-0.22944605798749457
CC2D2B_ENST00000371198	-1.5846177468601004	-0.22944605798749457
ENSG00000188082	-1.5846177468601004	-0.22944605798749457
CXorf59_ENST00000449698	-1.5846177468601004	-0.22944605798749457
C16orf47	-1.5846177468601004	-0.22944605798749457
NUP62CL_ENST00000432145	-1.5846177468601004	-0.22944605798749457
BTF3L1	-1.5846177468601004	-0.22944605798749457
ARL17A	-1.5846177468601004	-0.22944605798749457
CBWD3_ENST00000377344	-1.5846177468601004	-0.22944605798749457
SRSF11	-1.5846177468601004	-0.22944605798749457
ENSG00000187791	-1.5846177468601004	-0.22944605798749457
DOCK9_ENST00000450257	-1.5846177468601004	-0.22944605798749457
EIF2S3_ENST00000423068	-1.5846177468601004	-0.22944605798749457
MAPK9_ENST00000397072	-1.5846177468601004	-0.22944605798749457
GGNBP1	-1.5846177468601004	-0.22944605798749457
Q8NGC8_HUMAN	-1.5846177468601004	-0.22944605798749457
ENSG00000173115	-1.5846177468601004	-0.22944605798749457
RBMY1F	-1.5846177468601004	-0.22944605798749457
LOC389848	-1.5846177468601004	-0.22944605798749457
C16orf47_ENST00000358463	-1.5846177468601004	-0.22944605798749457
LOC392487	-1.5846177468601004	-0.22944605798749457
PTMS_ENST00000389462	-1.5846177468601004	-0.22944605798749457
Q96RY6_HUMAN	-1.5846177468601004	-0.22944605798749457
ENSG00000174880	-1.5846177468601004	-0.22944605798749457
ENSG00000268798	-1.5846177468601004	-0.22944605798749457
C10orf40	-1.5846177468601004	-0.22944605798749457
ADORA2A-AS1	-1.5817816559436981	-0.2301788009577874
FBXL15	-1.5817816559436981	-0.2301788009577874
SNX3_ENST00000368982	-1.5817816559436981	-0.2301788009577874
SCP2_ENST00000371513	-1.5817816559436981	-0.2301788009577874
KCTD3_ENST00000448333	-1.5817816559436981	-0.2301788009577874
ENSG00000269559	-1.5817816559436981	-0.2301788009577874
ELP5	-1.5817816559436981	-0.2301788009577874
CREB1	-1.5817816559436981	-0.2301788009577874
THUMPD2_ENST00000505747	-1.5817816559436981	-0.2301788009577874
RGPD7	-1.5817816559436981	-0.2301788009577874
L3MBTL1	-1.5817816559436981	-0.2301788009577874
NSMCE4A_ENST00000369017	-1.5817816559436981	-0.2301788009577874
IL21R	-1.5817816559436981	-0.2301788009577874
PHF20L1_ENST00000315808	-1.5817816559436981	-0.2301788009577874
ADGB_ENST00000367489	-1.5691347193421126	-0.23347836921294113
CHIC2	-1.5521381972081538	-0.2379966020685356
ATP5J	-1.5270054412397602	-0.24485896845609187
TNFRSF12A	-1.5270054412397602	-0.24485896845609187
C4orf42	-1.5270054412397602	-0.24485896845609187
ZNF720_ENST00000399681	-1.5270054412397602	-0.24485896845609187
NR5A2_ENST00000367357	-1.5270054412397602	-0.24485896845609187
ZNF343_ENST00000358413	-1.5270054412397602	-0.24485896845609187
DPCD_ENST00000416979	-1.514891949685719	-0.24824591644948757
GMFB	-1.4957234445022403	-0.2537141464183633
RPL37	-1.4912610507286987	-0.25500661528048874
HOXC6_ENST00000509328	-1.4620166762743132	-0.2636640304584548
PIGY	-1.455200609764878	-0.26572953069607214
PIGY_ENST00000273968	-1.455200609764878	-0.26572953069607214
NIT1_ENST00000368007	-1.4393937841838094	-0.2705908714520965
SDF2L1	-1.4393937841838094	-0.2705908714520965
C2orf15	-1.4213520277082257	-0.2762640847093294
RPL22	-1.4213520277082257	-0.2762640847093294
LYSMD2	-1.4180531015210933	-0.27731607611084585
BET1L	-1.4180531015210933	-0.27731607611084585
TNFSF13_ENST00000396545	-1.4180531015210933	-0.27731607611084585
ISCA2	-1.4180531015210933	-0.27731607611084585
BOLA3	-1.4180531015210933	-0.27731607611084585
SDHC_ENST00000342751	-1.4180531015210933	-0.27731607611084585
C3orf49	-1.4180531015210933	-0.27731607611084585
ABCA6_ENST00000590645	-1.4180531015210933	-0.27731607611084585
COX7A2L	-1.4180531015210933	-0.27731607611084585
REP15	-1.4180531015210933	-0.27731607611084585
CIDEC_ENST00000383817	-1.4180531015210933	-0.27731607611084585
BOLA3_ENST00000295326	-1.4180531015210933	-0.27731607611084585
ATP5J_ENST00000457143	-1.4180531015210933	-0.27731607611084585
PDCD5	-1.4180531015210933	-0.27731607611084585
TMEM185B_ENST00000426077	-1.4180531015210933	-0.27731607611084585
BAG1_ENST00000379700	-1.4180531015210933	-0.27731607611084585
ODF3B	-1.4180531015210933	-0.27731607611084585
SPCS3_ENST00000503362	-1.4180531015210933	-0.27731607611084585
SPECC1	-1.4180531015210933	-0.27731607611084585
AP1S2_ENST00000329235	-1.4180531015210933	-0.27731607611084585
GEN1	-1.4180531015210933	-0.27731607611084585
CDY1B	-1.4180531015210933	-0.27731607611084585
RPL35A	-1.4180531015210933	-0.27731607611084585
C9orf40	-1.4180531015210933	-0.27731607611084585
CEP112_ENST00000317442	-1.4180531015210933	-0.27731607611084585
IL5	-1.4180531015210933	-0.27731607611084585
ENSG00000267964	-1.4180531015210933	-0.27731607611084585
AP1S2_ENST00000421527	-1.4180531015210933	-0.27731607611084585
AP1S2_ENST00000545766	-1.4180531015210933	-0.27731607611084585
LCE5A	-1.4100440383923918	-0.27988922466856525
ANAPC13	-1.4036848228151606	-0.2819518149885568
DSTN	-1.4036848228151606	-0.2819518149885568
C10orf105_ENST00000398786	-1.4036848228151606	-0.2819518149885568
C10orf105_ENST00000441508	-1.4036848228151606	-0.2819518149885568
SEC61B	-1.4036848228151606	-0.2819518149885568
CTSC_ENST00000529974	-1.4036848228151606	-0.2819518149885568
C15orf29	-1.4036848228151606	-0.2819518149885568
RAD23B_ENST00000457811	-1.4036848228151606	-0.2819518149885568
LOC51058	-1.4036848228151606	-0.2819518149885568
UBE2W	-1.4036848228151606	-0.2819518149885568
PTGES3L	-1.4036848228151606	-0.2819518149885568
UBE2W_ENST00000419880	-1.4036848228151606	-0.2819518149885568
RPS27	-1.4036848228151606	-0.2819518149885568
SVIP	-1.4036848228151606	-0.2819518149885568
SNRPF	-1.4036848228151606	-0.2819518149885568
SPHAR	-1.4036848228151606	-0.2819518149885568
HIGD1C	-1.4036848228151606	-0.2819518149885568
C17orf82	-1.4036848228151606	-0.2819518149885568
AGK_ENST00000492693	-1.4036848228151606	-0.2819518149885568
C6orf228_ENST00000416247	-1.4036848228151606	-0.2819518149885568
C17orf82_ENST00000335108	-1.4036848228151606	-0.2819518149885568
C11orf54_ENST00000331239	-1.4036848228151606	-0.2819518149885568
COX19	-1.4036848228151606	-0.2819518149885568
C6orf228	-1.4036848228151606	-0.2819518149885568
ATP9B_ENST00000458297	-1.4036848228151606	-0.2819518149885568
Q8NB20_HUMAN	-1.4036848228151606	-0.2819518149885568
