random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	17	log2	3	gini	0.80625
1	30	log2	4	gini	0.80625
2	25	log2	4	entropy	0.775
3	10	sqrt	3	gini	0.80625
4	30	log2	2	entropy	0.80625
5	15	sqrt	2	gini	0.7875
6	12	log2	2	gini	0.8125
7	26	log2	2	gini	0.8
8	8	log2	3	entropy	0.8125
9	7	log2	3	entropy	0.8
