CV fold	random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
4	131	23	sqrt	4	gini	0.7777777777777778
4	132	21	sqrt	4	gini	0.7719298245614035
4	133	14	log2	3	entropy	0.7894736842105263
4	134	27	sqrt	4	entropy	0.7894736842105263
4	135	13	sqrt	3	gini	0.7953216374269005
4	136	12	sqrt	2	gini	0.783625730994152
4	137	18	sqrt	3	gini	0.7894736842105263
4	138	13	sqrt	3	entropy	0.7660818713450293
4	139	21	log2	3	gini	0.7660818713450293
4	140	20	log2	4	entropy	0.7719298245614035
4	141	14	log2	2	gini	0.783625730994152
4	142	11	log2	3	gini	0.7777777777777778
4	143	19	log2	4	entropy	0.783625730994152
4	144	8	sqrt	3	gini	0.7777777777777778
4	145	7	sqrt	4	entropy	0.783625730994152
4	146	25	log2	3	gini	0.7719298245614035
4	147	18	sqrt	3	gini	0.7719298245614035
4	148	17	sqrt	2	gini	0.783625730994152
4	149	25	sqrt	2	gini	0.7660818713450293
4	150	7	sqrt	2	gini	0.7953216374269005
4	151	7	sqrt	4	entropy	0.7719298245614035
4	152	7	log2	4	entropy	0.7777777777777778
4	153	5	log2	2	entropy	0.7777777777777778
4	154	20	log2	3	gini	0.7894736842105263
4	155	19	log2	4	gini	0.7719298245614035
4	156	15	log2	3	entropy	0.7777777777777778
4	157	14	log2	4	entropy	0.7719298245614035
4	158	20	sqrt	4	gini	0.783625730994152
4	159	10	sqrt	2	entropy	0.783625730994152
4	160	9	sqrt	2	gini	0.7777777777777778
4	161	23	sqrt	3	gini	0.7894736842105263
4	162	21	sqrt	4	gini	0.7719298245614035
4	163	10	sqrt	2	gini	0.7602339181286549
4	164	16	log2	3	gini	0.7894736842105263
4	165	17	log2	4	gini	0.783625730994152
4	166	9	sqrt	4	gini	0.7719298245614035
4	167	11	sqrt	3	entropy	0.7777777777777778
4	168	8	log2	4	gini	0.7777777777777778
4	169	17	log2	4	gini	0.783625730994152
4	170	22	sqrt	4	gini	0.7660818713450293
4	171	11	sqrt	3	gini	0.783625730994152
4	172	29	sqrt	2	entropy	0.7719298245614035
4	173	25	sqrt	3	entropy	0.7719298245614035
4	174	9	sqrt	2	entropy	0.7719298245614035
4	175	9	log2	3	entropy	0.7894736842105263
4	176	12	log2	3	gini	0.7660818713450293
4	177	15	sqrt	4	gini	0.783625730994152
4	178	10	sqrt	2	entropy	0.7777777777777778
4	179	7	sqrt	4	entropy	0.7953216374269005
4	180	18	sqrt	4	gini	0.7719298245614035
4	181	30	log2	3	gini	0.7777777777777778
4	182	18	log2	3	gini	0.7719298245614035
4	183	6	log2	4	gini	0.7719298245614035
4	184	21	log2	2	entropy	0.783625730994152
4	185	16	sqrt	4	gini	0.7719298245614035
4	186	15	sqrt	4	entropy	0.7660818713450293
4	187	11	log2	3	gini	0.7719298245614035
4	188	5	sqrt	4	entropy	0.7894736842105263
4	189	9	log2	3	gini	0.8011695906432749
4	190	19	sqrt	3	gini	0.7660818713450293
4	191	16	sqrt	3	gini	0.783625730994152
4	192	7	log2	2	entropy	0.7719298245614035
4	193	18	log2	3	entropy	0.783625730994152
4	194	23	log2	3	gini	0.783625730994152
4	195	18	log2	3	gini	0.7660818713450293
4	196	5	log2	2	entropy	0.7719298245614035
4	197	11	sqrt	3	gini	0.7719298245614035
4	198	6	log2	2	entropy	0.7777777777777778
4	199	8	sqrt	3	gini	0.7777777777777778
4	200	16	sqrt	4	entropy	0.7777777777777778
4	201	6	sqrt	3	gini	0.7719298245614035
4	202	19	sqrt	4	entropy	0.7660818713450293
4	203	9	log2	3	entropy	0.7777777777777778
4	204	14	sqrt	2	gini	0.7953216374269005
4	205	5	sqrt	2	gini	0.7777777777777778
4	206	29	sqrt	3	gini	0.7777777777777778
4	207	26	log2	4	entropy	0.7660818713450293
4	208	14	sqrt	2	entropy	0.7660818713450293
4	209	16	log2	4	gini	0.7777777777777778
4	210	19	sqrt	4	gini	0.7894736842105263
4	211	6	sqrt	2	gini	0.7894736842105263
4	212	23	sqrt	2	gini	0.7660818713450293
4	213	14	log2	3	gini	0.7602339181286549
4	214	10	log2	3	gini	0.7894736842105263
4	215	18	sqrt	3	gini	0.7719298245614035
4	216	24	log2	4	entropy	0.783625730994152
4	217	13	log2	2	entropy	0.7719298245614035
4	218	24	sqrt	4	gini	0.783625730994152
4	219	12	sqrt	4	entropy	0.7777777777777778
4	220	14	sqrt	2	gini	0.7719298245614035
4	221	26	log2	4	gini	0.7777777777777778
4	222	10	log2	3	entropy	0.7660818713450293
4	223	11	sqrt	3	entropy	0.7777777777777778
4	224	10	log2	2	gini	0.7719298245614035
4	225	9	sqrt	3	gini	0.7777777777777778
4	226	24	log2	4	entropy	0.7660818713450293
4	227	5	sqrt	4	gini	0.7953216374269005
4	228	17	log2	3	entropy	0.7719298245614035
4	229	15	sqrt	3	gini	0.7894736842105263
4	230	16	sqrt	3	gini	0.7894736842105263
4	231	8	log2	3	gini	0.7777777777777778
4	232	23	log2	3	gini	0.7777777777777778
4	233	9	log2	2	gini	0.7660818713450293
4	234	7	log2	4	gini	0.7660818713450293
4	235	24	sqrt	2	gini	0.7777777777777778
4	236	30	sqrt	4	gini	0.783625730994152
4	237	16	sqrt	4	gini	0.783625730994152
4	238	9	log2	3	gini	0.7953216374269005
4	239	11	sqrt	2	entropy	0.783625730994152
4	240	25	log2	2	entropy	0.7719298245614035
4	241	23	log2	2	entropy	0.783625730994152
4	242	17	sqrt	3	entropy	0.7602339181286549
4	243	13	log2	4	entropy	0.7719298245614035
4	244	8	sqrt	3	entropy	0.8011695906432749
4	245	7	sqrt	2	gini	0.7894736842105263
4	246	30	log2	4	gini	0.7953216374269005
4	247	9	sqrt	4	entropy	0.8011695906432749
4	248	5	log2	3	entropy	0.8011695906432749
4	249	29	sqrt	4	entropy	0.7777777777777778
4	250	30	log2	2	entropy	0.7543859649122807
4	251	7	log2	2	gini	0.783625730994152
4	252	18	sqrt	3	gini	0.7894736842105263
4	253	18	log2	4	entropy	0.8011695906432749
4	254	22	sqrt	4	gini	0.7719298245614035
4	255	25	log2	4	entropy	0.7719298245614035
4	256	17	sqrt	3	entropy	0.7777777777777778
4	257	16	sqrt	3	gini	0.7719298245614035
4	258	30	sqrt	4	gini	0.7777777777777778
4	259	27	sqrt	2	gini	0.7660818713450293
4	260	25	sqrt	3	gini	0.7894736842105263
4	261	22	sqrt	3	gini	0.7719298245614035
4	262	23	log2	4	entropy	0.7894736842105263
4	263	14	log2	4	gini	0.783625730994152
4	264	23	log2	4	gini	0.7719298245614035
4	265	23	sqrt	3	entropy	0.7894736842105263
4	266	20	log2	4	gini	0.7719298245614035
4	267	14	log2	2	gini	0.7660818713450293
4	268	8	log2	4	gini	0.7719298245614035
4	269	7	log2	4	entropy	0.7719298245614035
4	270	23	sqrt	3	gini	0.783625730994152
4	271	11	sqrt	4	gini	0.783625730994152
4	272	8	sqrt	3	gini	0.7777777777777778
4	273	17	sqrt	3	entropy	0.7894736842105263
4	274	28	log2	4	gini	0.7719298245614035
4	275	19	sqrt	2	gini	0.7660818713450293
4	276	16	sqrt	4	entropy	0.783625730994152
4	277	9	sqrt	3	entropy	0.7719298245614035
4	278	7	sqrt	3	gini	0.8011695906432749
4	279	16	log2	4	gini	0.7953216374269005
4	280	22	log2	3	gini	0.7719298245614035
4	281	29	log2	3	gini	0.783625730994152
4	282	15	log2	4	entropy	0.7894736842105263
4	283	5	log2	4	entropy	0.7894736842105263
4	284	10	log2	2	gini	0.7719298245614035
4	285	30	sqrt	4	gini	0.7719298245614035
4	286	6	log2	2	gini	0.7894736842105263
4	287	6	sqrt	3	gini	0.7894736842105263
4	288	21	log2	4	entropy	0.783625730994152
4	289	7	sqrt	4	gini	0.7777777777777778
4	290	23	sqrt	4	entropy	0.783625730994152
4	291	29	log2	4	entropy	0.7660818713450293
4	292	13	sqrt	3	gini	0.7894736842105263
4	293	17	log2	4	gini	0.7719298245614035
4	294	13	log2	3	entropy	0.7777777777777778
4	295	22	log2	3	entropy	0.7719298245614035
4	296	21	log2	4	entropy	0.7777777777777778
4	297	8	sqrt	4	entropy	0.7894736842105263
4	298	22	sqrt	3	entropy	0.7777777777777778
4	299	22	sqrt	3	entropy	0.783625730994152
4	300	17	log2	4	gini	0.783625730994152
4	301	21	log2	4	entropy	0.7777777777777778
4	302	21	sqrt	3	entropy	0.7777777777777778
4	303	10	sqrt	4	entropy	0.783625730994152
4	304	6	sqrt	3	gini	0.7602339181286549
4	305	21	sqrt	4	gini	0.7660818713450293
4	306	9	log2	3	gini	0.7894736842105263
4	307	22	log2	4	gini	0.7719298245614035
4	308	9	sqrt	3	entropy	0.7894736842105263
4	309	20	sqrt	3	entropy	0.7894736842105263
4	310	16	sqrt	4	gini	0.7777777777777778
4	311	18	log2	4	entropy	0.783625730994152
4	312	9	sqrt	2	gini	0.7719298245614035
4	313	8	sqrt	3	gini	0.7894736842105263
4	314	20	sqrt	4	entropy	0.7660818713450293
4	315	21	log2	3	gini	0.7719298245614035
4	316	19	log2	3	gini	0.783625730994152
4	317	28	sqrt	3	entropy	0.783625730994152
4	318	10	log2	3	entropy	0.7894736842105263
4	319	6	log2	2	gini	0.7777777777777778
