Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_OG	F1_TSG	Precision_OG	Precision_TSG	Recall_OG	Recall_TSG
allFeat	37	14	0	log2	3	entropy	0.8805031446540881	0.8080808080808081	0.91324200913242	0.9523809523809523	0.8547008547008547	0.7017543859649122	0.9803921568627451
allFeat	37	16	1	log2	2	gini	0.8113207547169812	0.7	0.8623853211009175	0.813953488372093	0.8103448275862069	0.6140350877192983	0.9215686274509803
allFeat	37	6	2	log2	2	gini	0.8238993710691824	0.688888888888889	0.8771929824561403	0.9393939393939394	0.7936507936507936	0.543859649122807	0.9803921568627451
allFeat	37	8	3	log2	2	gini	0.8050314465408805	0.6736842105263158	0.8609865470852018	0.8421052631578947	0.7933884297520661	0.5614035087719298	0.9411764705882353
allFeat	37	13	4	sqrt	2	entropy	0.8113207547169812	0.6938775510204082	0.8636363636363636	0.8292682926829268	0.8050847457627118	0.5964912280701754	0.9313725490196079
allFeat	37	19	5	log2	2	gini	0.8176100628930818	0.6947368421052632	0.8699551569506727	0.868421052631579	0.8016528925619835	0.5789473684210527	0.9509803921568627
allFeat	37	5	6	sqrt	2	entropy	0.8364779874213837	0.7291666666666667	0.882882882882883	0.8974358974358975	0.8166666666666667	0.6140350877192983	0.9607843137254902
allFeat	37	5	7	sqrt	3	entropy	0.8301886792452831	0.7272727272727273	0.8767123287671232	0.8571428571428571	0.8205128205128205	0.631578947368421	0.9411764705882353
allFeat	37	13	8	sqrt	4	entropy	0.9308176100628931	0.8971962616822429	0.9478672985781992	0.96	0.9174311926605505	0.8421052631578947	0.9803921568627451
allFeat	37	29	9	log2	2	gini	0.8113207547169812	0.7	0.8623853211009175	0.813953488372093	0.8103448275862069	0.6140350877192983	0.9215686274509803
newFeat	19	5	0	sqrt	3	entropy	0.779874213836478	0.631578947368421	0.8430493273542601	0.7894736842105263	0.7768595041322314	0.5263157894736842	0.9215686274509803
newFeat	19	11	1	sqrt	4	gini	0.8805031446540881	0.819047619047619	0.9107981220657277	0.8958333333333334	0.8738738738738738	0.7543859649122807	0.9509803921568627
newFeat	19	14	2	sqrt	3	entropy	0.8050314465408805	0.6593406593406594	0.8634361233480177	0.8823529411764706	0.784	0.5263157894736842	0.9607843137254902
newFeat	19	16	3	sqrt	2	gini	0.7421383647798742	0.4675324675324675	0.829875518672199	0.9	0.7194244604316546	0.3157894736842105	0.9803921568627451
newFeat	19	9	4	sqrt	4	gini	0.8679245283018868	0.7878787878787878	0.9041095890410958	0.9285714285714286	0.8461538461538461	0.6842105263157895	0.9705882352941176
newFeat	19	11	5	sqrt	2	gini	0.7421383647798742	0.4938271604938272	0.8270042194092828	0.8333333333333334	0.725925925925926	0.3508771929824561	0.9607843137254902
newFeat	19	6	6	sqrt	3	gini	0.8176100628930818	0.7238095238095237	0.863849765258216	0.7916666666666666	0.8288288288288288	0.6666666666666666	0.9019607843137255
newFeat	19	21	7	sqrt	4	gini	0.8867924528301887	0.8269230769230769	0.9158878504672897	0.9148936170212766	0.875	0.7543859649122807	0.9607843137254902
newFeat	19	6	8	sqrt	3	gini	0.779874213836478	0.6067415730337079	0.8471615720524017	0.84375	0.7637795275590551	0.47368421052631576	0.9509803921568627
newFeat	19	13	9	sqrt	2	gini	0.7484276729559748	0.5454545454545454	0.8260869565217391	0.7741935483870968	0.7421875	0.42105263157894735	0.9313725490196079
oldFeat	18	23	0	sqrt	2	entropy	0.8364779874213837	0.7291666666666667	0.882882882882883	0.8974358974358975	0.8166666666666667	0.6140350877192983	0.9607843137254902
oldFeat	18	24	1	sqrt	3	entropy	0.8553459119496856	0.7676767676767676	0.8949771689497716	0.9047619047619048	0.8376068376068376	0.6666666666666666	0.9607843137254902
oldFeat	18	15	2	sqrt	3	entropy	0.8490566037735849	0.7499999999999999	0.8918918918918919	0.9230769230769231	0.825	0.631578947368421	0.9705882352941176
oldFeat	18	28	3	sqrt	4	entropy	0.89937106918239	0.8431372549019609	0.9259259259259259	0.9555555555555556	0.8771929824561403	0.7543859649122807	0.9803921568627451
oldFeat	18	6	4	sqrt	2	entropy	0.8364779874213837	0.7291666666666667	0.882882882882883	0.8974358974358975	0.8166666666666667	0.6140350877192983	0.9607843137254902
oldFeat	18	6	5	sqrt	4	gini	0.8930817610062893	0.838095238095238	0.9201877934272301	0.9166666666666666	0.8828828828828829	0.7719298245614035	0.9607843137254902
oldFeat	18	9	6	sqrt	4	gini	0.9182389937106918	0.8737864077669902	0.9395348837209303	0.9782608695652174	0.8938053097345132	0.7894736842105263	0.9901960784313726
oldFeat	18	27	7	sqrt	2	gini	0.8490566037735849	0.7446808510638299	0.8928571428571428	0.9459459459459459	0.819672131147541	0.6140350877192983	0.9803921568627451
oldFeat	18	30	8	sqrt	2	entropy	0.8490566037735849	0.7499999999999999	0.8918918918918919	0.9230769230769231	0.825	0.631578947368421	0.9705882352941176
oldFeat	18	9	9	sqrt	2	entropy	0.8427672955974843	0.7524752475247524	0.8847926267281107	0.8636363636363636	0.8347826086956521	0.6666666666666666	0.9411764705882353
