	OG	TSG
C10orf90_ENST00000368674	-inf	0.0
POP1	-inf	0.0
SEC63	-inf	0.0
CWC22	-inf	0.0
RBM6	-inf	0.0
TRIM37	-inf	0.0
COG5	-inf	0.0
RPUSD3	-inf	0.0
SPECC1_ENST00000261503	-inf	0.0
TNFSF18_ENST00000404377	-inf	0.0
MPP1	-inf	0.0
TSC1_ENST00000403810	-inf	0.0
BPI	-inf	0.0
FRG1	-inf	0.0
ZNF616	-inf	0.0
DMKN	-inf	0.0
PHACTR1	-inf	0.0
C12orf71	-inf	0.0
FURIN	-inf	0.0
SPINK5	-inf	0.0
KRT7	-inf	0.0
ZNF324B	-inf	0.0
TRIM36	-inf	0.0
HOXD10	-inf	0.0
DNAJC21	-inf	0.0
NR1I3_ENST00000428574	-inf	0.0
HLCS	-inf	0.0
GLTSCR2	-inf	0.0
MTPAP	-inf	0.0
EPM2AIP1	-inf	0.0
ACSL6_ENST00000379272	-inf	0.0
TBC1D14_ENST00000409757	-inf	0.0
SLAMF8	-inf	0.0
RSPH4A	-inf	0.0
FOXJ3	-inf	0.0
DMRTA1	-inf	0.0
CRNKL1	-inf	0.0
DNMT3B_ENST00000201963	-inf	0.0
ZNF749	-inf	0.0
ATXN10	-inf	0.0
NR1I3	-inf	0.0
LCLAT1	-inf	0.0
CD207	-inf	0.0
RASAL1	-inf	0.0
VWA5B1_ENST00000375083	-inf	0.0
EEF2K_ENST00000263026	-inf	0.0
ASB8	-inf	0.0
PLS3	-inf	0.0
PSIP1_ENST00000380715	-inf	0.0
TBC1D14	-inf	0.0
NR1I3_ENST00000367981	-inf	0.0
PRMT1	-inf	0.0
CTDSPL2	-inf	0.0
CEP89	-inf	0.0
DNAJC14	-inf	0.0
CTAGE1	-inf	0.0
NOX4	-inf	0.0
MPEG1	-inf	0.0
YKT6	-inf	0.0
MITF_ENST00000328528	-inf	0.0
RDX	-inf	0.0
FAM126A	-inf	0.0
PSIP1_ENST00000380733	-inf	0.0
SLC46A3	-inf	0.0
ADAM10	-inf	0.0
ZBTB33	-inf	0.0
ZKSCAN4	-inf	0.0
C10orf28	-inf	0.0
ZNF165	-inf	0.0
TMEM26	-inf	0.0
SH3D19	-inf	0.0
CENPT	-inf	0.0
POLN	-inf	0.0
SATL1	-inf	0.0
LRRC27_ENST00000368610	-inf	0.0
SP1_ENST00000327443	-inf	0.0
PABPC1	-inf	0.0
DNHL1	-inf	0.0
EIF2B5	-inf	0.0
C20orf96_ENST00000382369	-inf	0.0
CCDC148	-inf	0.0
LRRC28	-inf	0.0
DEPDC1	-inf	0.0
BLNK_ENST00000427367	-inf	0.0
KIAA0528_ENST00000544930	-inf	0.0
PSIP1	-inf	0.0
ZNF622	-inf	0.0
ERI1	-inf	0.0
INTS12	-inf	0.0
RAI14	-inf	0.0
EFHA1	-inf	0.0
C15orf60	-inf	0.0
N4BP1	-inf	0.0
E2F8	-inf	0.0
SH3GL3_ENST00000427482	-inf	0.0
PTGER2	-inf	0.0
KIAA1467	-inf	0.0
STOML1	-inf	0.0
STAT2	-inf	0.0
OCRL	-inf	0.0
IPO9	-inf	0.0
TMEM30A	-inf	0.0
CCDC69	-inf	0.0
GSDMB_ENST00000418519	-inf	0.0
WEE2	-inf	0.0
MLXIP	-inf	0.0
STK33_ENST00000447869	-inf	0.0
CTAGE1_ENST00000391403	-inf	0.0
KAT2B	-inf	0.0
TBC1D5	-inf	0.0
ATE1_ENST00000224652	-inf	0.0
SPICE1	-inf	0.0
ARPC2	-inf	0.0
SHC4	-inf	0.0
DEF6	-inf	0.0
ZNF189	-inf	0.0
MITF_ENST00000314589	-inf	0.0
ARNTL	-inf	0.0
EPB42	-inf	0.0
CLK1_ENST00000434813	-inf	0.0
CPEB4	-inf	0.0
ATG4D	-inf	0.0
ATP9A	-inf	0.0
TBR1	-inf	0.0
ACY1	-inf	0.0
ZDHHC6	-inf	0.0
UBE3A	-inf	0.0
TIA1	-inf	0.0
PRL	-inf	0.0
MTIF3	-inf	0.0
GALNS	-inf	0.0
PML_ENST00000435786	-inf	0.0
TRIM38	-inf	0.0
ADD3	-inf	0.0
PHLDB3	-inf	0.0
MORF4L1	-inf	0.0
RBM23	-inf	0.0
ATF6	-inf	0.0
ZNF790	-inf	0.0
MIOS	-inf	0.0
METTL13	-inf	0.0
MTBP	-inf	0.0
ZNF491	-inf	0.0
LEFTY2	-inf	0.0
HIF3A	-inf	0.0
CRELD1	-inf	0.0
CA9	-inf	0.0
SP100	-inf	0.0
PNMA2	-inf	0.0
PKD2	-inf	0.0
SLC28A1_ENST00000338602	-inf	0.0
