random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
0	5	sqrt	3	entropy	0.7232704402515723
1	11	sqrt	4	gini	0.6981132075471698
2	14	sqrt	3	entropy	0.7421383647798742
3	16	sqrt	2	gini	0.7232704402515723
4	9	sqrt	4	gini	0.710691823899371
5	11	sqrt	2	gini	0.710691823899371
6	6	sqrt	3	gini	0.6981132075471698
7	21	sqrt	4	gini	0.710691823899371
8	6	sqrt	3	gini	0.710691823899371
9	13	sqrt	2	gini	0.7295597484276729
