	OG	TSG
LOC51123	0.31284792075996426	0.6871520792400356
ZNF706	0.31284792075996426	0.6871520792400356
MZT1	0.37398170760803684	0.6260182923919632
DSC2	0.3892860020557365	0.6107139979442635
ZNF415_ENST00000500065	0.3892860020557365	0.6107139979442635
PRKAA2	0.3892860020557365	0.6107139979442635
C8orf34_ENST00000523686	0.3892860020557365	0.6107139979442635
C9orf150	0.3892860020557365	0.6107139979442635
OR56B1	0.3892860020557365	0.6107139979442635
USH1C	0.3892860020557365	0.6107139979442635
AMACR	0.3892860020557365	0.6107139979442635
ZNF432	0.3892860020557365	0.6107139979442635
EDN1	0.3892860020557365	0.6107139979442635
CD200	0.3892860020557365	0.6107139979442635
ZNF468	0.3892860020557365	0.6107139979442635
IRAK3	0.3892860020557365	0.6107139979442635
CCDC155	0.3892860020557365	0.6107139979442635
TMSB4X	0.3914482233597818	0.6085517766402181
SRSF5_ENST00000451983	0.3914482233597818	0.6085517766402181
FAM86B2	0.3917594853858146	0.6082405146141853
FAM86B2_ENST00000393715	0.3917594853858146	0.6082405146141853
TIMM17A	0.3917594853858146	0.6082405146141853
KLHL4	0.40706377983351427	0.5929362201664858
BEX1_ENST00000372728	0.40706377983351427	0.5929362201664858
AKR1C3	0.40706377983351427	0.5929362201664858
MICALCL	0.4111981467585789	0.5888018532414212
RFX3_ENST00000381984	0.4194362530625823	0.5805637469374177
Q9P1M5_HUMAN	0.4194362530625823	0.5805637469374177
C21orf37	0.4194362530625823	0.5805637469374177
BEST2	0.4195314800919122	0.5804685199080879
CLYBL	0.42928600205573647	0.5707139979442636
YSK4	0.42928600205573647	0.5707139979442636
ENPP2	0.42928600205573647	0.5707139979442636
DHDH	0.42928600205573647	0.5707139979442636
P2RY13	0.42928600205573647	0.5707139979442636
FBXO15	0.42928600205573647	0.5707139979442636
CLDN25	0.42934320211293653	0.5706567978870635
COL3A1_ENST00000317840	0.42963687924871896	0.570363120751281
MTMR8_ENST00000453546	0.42963687924871896	0.570363120751281
FXYD5	0.4331390750286211	0.5668609249713791
C1orf55	0.4331390750286211	0.5668609249713791
ACTN4	0.4331390750286211	0.5668609249713791
KIAA1529	0.4331390750286211	0.5668609249713791
DHX35	0.4331390750286211	0.5668609249713791
HTR6	0.4331390750286211	0.5668609249713791
C15orf32	0.4331390750286211	0.5668609249713791
ZNF688_ENST00000395219	0.4331390750286211	0.5668609249713791
SLC9A1	0.4331390750286211	0.5668609249713791
MYO7B_ENST00000428314	0.4331390750286211	0.5668609249713791
SCIN	0.4331390750286211	0.5668609249713791
PKD2L1	0.4331390750286211	0.5668609249713791
PDE6G	0.4331390750286211	0.5668609249713791
FGL2	0.4331390750286211	0.5668609249713791
DNAH2	0.4331390750286211	0.5668609249713791
PPL	0.4331390750286211	0.5668609249713791
RIC3	0.4349000371434558	0.5650999628565442
PIWIL3	0.4349000371434558	0.5650999628565442
ENSG00000187812	0.4349000371434558	0.5650999628565442
ZNF645	0.4349000371434558	0.5650999628565442
IL1A	0.4349000371434558	0.5650999628565442
LAMB4	0.4349000371434558	0.5650999628565442
ZNF43	0.4349000371434558	0.5650999628565442
HEPACAM2_ENST00000394468	0.4349000371434558	0.5650999628565442
CCDC42	0.4349000371434558	0.5650999628565442
GAD1_ENST00000375272	0.4349000371434558	0.5650999628565442
SNRPB	0.4349000371434558	0.5650999628565442
WDR65	0.4349000371434558	0.5650999628565442
BSG_ENST00000346916	0.4349000371434558	0.5650999628565442
HFM1	0.4349000371434558	0.5650999628565442
ECM1_ENST00000369049	0.4349000371434558	0.5650999628565442
H2BFM	0.4349000371434558	0.5650999628565442
CCDC147	0.4349000371434558	0.5650999628565442
AMELX	0.4349000371434558	0.5650999628565442
HEPACAM2	0.4349000371434558	0.5650999628565442
C7orf42	0.4349000371434558	0.5650999628565442
TXLNB	0.4349000371434558	0.5650999628565442
MS4A1	0.4349000371434558	0.5650999628565442
ZNF486	0.4349000371434558	0.5650999628565442
OR6S1	0.4349000371434558	0.5650999628565442
AKAP3	0.4349000371434558	0.5650999628565442
NAALADL2	0.4349000371434558	0.5650999628565442
CHST9	0.4349000371434558	0.5650999628565442
C15orf59	0.4349000371434558	0.5650999628565442
GADL1_ENST00000282538	0.4349000371434558	0.5650999628565442
AKAP3_ENST00000545990	0.4349000371434558	0.5650999628565442
DTNA_ENST00000315456	0.4349000371434558	0.5650999628565442
JAM2	0.4349000371434558	0.5650999628565442
CCDC102B_ENST00000358653	0.4349000371434558	0.5650999628565442
PEG10	0.4349000371434558	0.5650999628565442
ARHGEF6	0.4349000371434558	0.5650999628565442
KLRC2	0.4349000371434558	0.5650999628565442
PDE4B	0.4349000371434558	0.5650999628565442
GLUL	0.4349000371434558	0.5650999628565442
GLYATL1	0.4349000371434558	0.5650999628565442
C1orf198	0.4349000371434558	0.5650999628565442
AMY2B	0.4349000371434558	0.5650999628565442
RRP15	0.4349000371434558	0.5650999628565442
PLCZ1_ENST00000266505	0.4349000371434558	0.5650999628565442
ZNF568	0.4349000371434558	0.5650999628565442
IQUB	0.4349000371434558	0.5650999628565442
TAC3	0.4349000371434558	0.5650999628565442
TRA2B	0.4349000371434558	0.5650999628565442
IL19_ENST00000340758	0.4349000371434558	0.5650999628565442
PTK2B_ENST00000397497	0.4349000371434558	0.5650999628565442
CALB1	0.4349000371434558	0.5650999628565442
LEPR	0.4349000371434558	0.5650999628565442
PIP5K1C_ENST00000335312	0.4349000371434558	0.5650999628565442
AMBN	0.4349000371434558	0.5650999628565442
EIF4A2	0.4349000371434558	0.5650999628565442
