	OG	TSG
REPIN1	-1.4587961832081349	-0.2646376635820728
SIX3	-1.370429517298077	-0.2930267828767118
FLT3LG	-1.3450925213116036	-0.3018020971209376
PTPN14	-1.3165952875275637	-0.3120381153117584
CTSA	-1.3055982443555856	-0.3160957530047936
DTX2	-1.2760805473098882	-0.327295343482423
NCOR2_ENST00000405201	-1.261280086681298	-0.33308559764631224
ACCN1	-1.261280086681298	-0.33308559764631224
DND1	-1.2583828431498414	-0.33423310027932424
Q13209_HUMAN	-1.252818336880996	-0.3364500901253174
TCF3	-1.2522258517103195	-0.33668716413971694
TMEFF2_ENST00000409056	-1.246598166905939	-0.33894883810356513
CHIA	-1.235207637553682	-0.343581580812827
TCAP	-1.2327163741812328	-0.3446047668687181
GHDC	-1.2327163741812328	-0.3446047668687181
ASB10_ENST00000422024	-1.2265556063193312	-0.3471505655132951
RECQL	-1.2256851128320976	-0.3475120688462231
P2RXL1	-1.2256851128320976	-0.3475120688462231
PVRL3_ENST00000493615	-1.2143264680111534	-0.3522702663547617
LCN8	-1.2081650459881117	-0.35488363508345566
FPGT	-1.2048165004594849	-0.35631357767279925
ZNF880	-1.2048165004594849	-0.35631357767279925
TRIM17_ENST00000456946	-1.201464557072265	-0.3577518359520574
PLSCR3	-1.196027282193018	-0.36009958916009027
SCTR	-1.1955777100653269	-0.3602945289756685
OPN1LW	-1.1951901133993377	-0.3604626963878543
RABGAP1L	-1.1924005911443256	-0.3616757544343245
KCNAB1	-1.1921496948296009	-0.3617850980160266
C8orf42	-1.1907628260433536	-0.36239022315523667
KCNK16_ENST00000437525	-1.1888625944932878	-0.3632213016095931
CLDN10	-1.1888625944932878	-0.3632213016095931
ETS1	-1.1888625944932878	-0.3632213016095931
KCNK16	-1.1888625944932878	-0.3632213016095931
ENAH	-1.1864840201693847	-0.3642647919749155
ZC3H18	-1.1856477047959655	-0.36463253655015954
CSNK1G1_ENST00000303052	-1.18184541711936	-0.3663100760496507
