	OG	TSG
PBRM1_ENST00000296302	-2.932973924847838	-0.05470803932536177
PBRM1_ENST00000356770	-2.932973924847838	-0.05470803932536177
STAG2_ENST00000218089	-2.8292580063889936	-0.06087235064486264
INADL	-2.8187933911665333	-0.06153281046697183
FBXW7_ENST00000534231	-2.801065302359655	-0.06266860759931048
GOLGA2	-2.7830705262310693	-0.06384362521247232
GON4L_ENST00000368331	-2.7615956684713185	-0.06527570608545344
ARID1B_ENST00000346085	-2.7615956684713185	-0.06527570608545344
LARP4B	-2.753792975299125	-0.06580422172579144
NOBOX_ENST00000467773	-2.6798619262278445	-0.07103705395627237
HJURP	-2.6798619262278445	-0.07103705395627237
ZNF543	-2.6798619262278445	-0.07103705395627237
IQCE	-2.6303887319451253	-0.07477791026330367
SACS	-2.6285000904415563	-0.07492470277600435
SCYL2	-2.623302748049427	-0.07533020641576715
LMO7_ENST00000357063	-2.608889152505135	-0.07646674012184998
USP9X_ENST00000324545	-2.5703803402996517	-0.07959145436088425
ABCB4_ENST00000265723	-2.561515117213706	-0.08032942744099117
CNTLN	-2.561515117213706	-0.08032942744099117
TTF1	-2.5466060220852786	-0.0815866162018011
AHCTF1	-2.5367556197308736	-0.08242846322384415
MLL3_ENST00000355193	-2.5358944386834996	-0.08250249135981615
NF1	-2.5358944386834996	-0.08250249135981615
PCSK5_ENST00000424854	-2.532015518415217	-0.08283678754957323
FANCI	-2.529247013959076	-0.08307624796290522
ANKRD26_ENST00000376070	-2.517898382782042	-0.08406540773677924
SLC44A2	-2.5023425183584407	-0.08544126994202192
MTMR3_ENST00000401950	-2.501408545410716	-0.08552462046830343
ANKRD26	-2.495604911246174	-0.08604445927901316
KIAA0467_ENST00000372442	-2.4803118403129147	-0.0874301357294282
SZT2	-2.4803118403129147	-0.0874301357294282
DDX60	-2.472710511817174	-0.0881275282128749
MLLT4	-2.466788184882459	-0.08867490535102751
SACS_ENST00000382298	-2.4645888917894525	-0.0888790808515983
BCOR	-2.4645888917894525	-0.0888790808515983
ASXL2_ENST00000435504	-2.4622336500870268	-0.08909827903618532
NRK_ENST00000428173	-2.4537130364828146	-0.08989600922886642
BRCA1_ENST00000471181	-2.449513563514728	-0.09029192271058036
ZNF585B	-2.4447648076427675	-0.09074181876115786
STK36	-2.440163103013401	-0.09118002073175226
USP9X	-2.4358188242117276	-0.09159574105607346
MYO1B_ENST00000392318	-2.4054346373190794	-0.09455936025957114
UMODL1_ENST00000408989	-2.4054346373190794	-0.09455936025957114
NUP98	-2.4015892183874668	-0.09494153462579644
TTC40	-2.3926663590414883	-0.09583457811562392
RAB11FIP1	-2.3917068661670404	-0.09593113199321271
KIAA0947_ENST00000296564	-2.3917068661670404	-0.09593113199321271
MLL2_ENST00000301067	-2.3892144470408434	-0.09618242143537079
XPO5	-2.3835888247520964	-0.09675214644389661
ZNF345	-2.382835265206033	-0.09682873031217842
FBXW7_ENST00000281708	-2.381145057583457	-0.0970007366534263
ALS2CR11_ENST00000439140	-2.370155712495917	-0.098126931550903
TET1_ENST00000373644	-2.366010952815911	-0.09855524639922927
STAU2_ENST00000521210	-2.356624004578479	-0.09953255803489963
BCORL1	-2.3552106560190316	-0.09968058676202268
NUP210L	-2.3546203345498586	-0.0997424832416168
KANK3	-2.3514758378517233	-0.10007287170458386
DDX60_ENST00000393743	-2.3489745122202623	-0.10033650415335996
SAMD9	-2.346237429374318	-0.10062582129954514
ZNRF3	-2.33796739551334	-0.10150532683811443
ABCA8	-2.3322620307272066	-0.10211679316630821
PTCH1_ENST00000375274	-2.3280874237106848	-0.10256665622402165
PTCH1_ENST00000331920	-2.3280874237106848	-0.10256665622402165
RBBP8	-2.321359388961123	-0.10329607512407983
RB1_ENST00000267163	-2.31785035182969	-0.10367867126368357
INTU	-2.312507749450981	-0.10426405151355843
IWS1	-2.3081444833935922	-0.10474470912935283
HIVEP2	-2.306592366945078	-0.10491625263026047
ARID1A	-2.304559026341142	-0.1051414300563949
ABI3BP	-2.3023347852919622	-0.10538833149264659
KDM6A	-2.2981464891329297	-0.10585491219095705
RNF111	-2.2946471341907455	-0.10624641327452901
DNAH17	-2.288621136630228	-0.10692417173118338
DPCR1_ENST00000462446	-2.2871902211981743	-0.10708577898965821
SMC6	-2.2856147777233526	-0.10726400715882005
LTBP2	-2.2856147777233526	-0.10726400715882005
MAP2K4	-2.281104061565938	-0.10777603174807103
SETD2_ENST00000409792	-2.2775508269728966	-0.10818118496294601
AKAP13	-2.2716671726598943	-0.10885559894916723
TRIM45	-2.270038994407028	-0.10904301169157819
MBD6	-2.2656126820393068	-0.109554229470654
FLG2	-2.2650024460221174	-0.10962490700875906
SPICE1	-2.263795141951847	-0.10976487885030638
CENPC1	-2.261630719955946	-0.11001628920261376
PPP6R2	-2.257892916736782	-0.11045188998569129
FARSA	-2.2550693301181	-0.11078215633029641
NF1_ENST00000358273	-2.251978900583958	-0.11114483061300111
TRANK1_ENST00000429976	-2.249821546290779	-0.11139874817184242
PDCD6IP	-2.2478234616171817	-0.11163446674457504
OGDH	-2.2450528422064844	-0.11196219562509623
TEX15	-2.2397359342832557	-0.11259396982499759
ACSL6_ENST00000379272	-2.2396809030643596	-0.11260052850570551
FAT	-2.23621719112296	-0.11301415149046776
CASP8AP2	-2.2254941166203692	-0.11430487961713341
MCM9_ENST00000316316	-2.223061637057685	-0.11459984002542396
IMPDH1	-2.223061637057685	-0.11459984002542396
MAN2C1	-2.219472700773366	-0.11503650343543104
FAM160B1_ENST00000369250	-2.2067040766066777	-0.11660439172334996
FAT2	-2.2039769051669666	-0.11694219150373837
STAU2_ENST00000524300	-2.2026552908794828	-0.11710626548241077
CAMSAP1L1	-2.201536124885631	-0.11724539693847108
DNHD1	-2.200218203387786	-0.11740946174116702
BCOR_ENST00000378444	-2.199944143347892	-0.11744360935024974
MYO1B	-2.1974699901988846	-0.11775236328286166
FHOD1	-2.197168214563178	-0.11779008122638487
RASA1	-2.1966666909327586	-0.11785279334577252
ZNF732_ENST00000419098	-2.1910052930812456	-0.11856317290418317
ATXN7_ENST00000398590	-2.1910052930812456	-0.11856317290418317
SLC12A9	-2.1910052930812456	-0.11856317290418317
NUP210	-2.187182476623645	-0.11904541860293641
NOTCH2	-2.18667111475659	-0.1191100841437855
RASA1_ENST00000456692	-2.1850615913552818	-0.11931386376407935
CDKN2A_ENST00000446177	-2.177871003066539	-0.12022878265107272
KMT2D	-2.1757773565569116	-0.12049657215622354
FAM111B	-2.1747704226745244	-0.1206255902253995
MICAL2_ENST00000379612	-2.174747663321962	-0.12062850806701075
NLRX1	-2.1742653161153567	-0.12069036456516911
ZMYM4_ENST00000314607	-2.1732806986847812	-0.12081673704731984
ZNF407_ENST00000582337	-2.1714630835327604	-0.12105039127737134
BCL9L_ENST00000392849	-2.1646853436813713	-0.12192590846954192
ZNF324B	-2.163042146500116	-0.12213918040286872
FTSJD1	-2.1568091766096518	-0.1229517727879094
UBE3C	-2.1567908347150424	-0.12295417248071949
EPB42	-2.1553064833872964	-0.12314853710963442
POLQ	-2.154566330498175	-0.12324557654481079
MYO10	-2.154188991655461	-0.12329507969182966
PCM1	-2.1535894254755137	-0.12337378035614203
RPUSD2	-2.1508715028078655	-0.12373121247869535
SPICE1_ENST00000295872	-2.1507941641485373	-0.12374139932615943
TMPRSS2_ENST00000398585	-2.1485357656446675	-0.12403926326157837
DOCK8_ENST00000453981	-2.1437532882014283	-0.12467255189914464
